Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
,,,,,873
,,,,,874
,,,,,875
54.0,,100.0,10.0,,876
,,,,,877
,,,,,878
,,,,,879
50.0,,100.0,9.0,,880
,,,,,881
,,,,,882
,,,,,883
68.0,,100.0,9.0,,884
,,,,,885
,,,,,886
,,,,,887
68.0,,100.0,9.0,,888
,,,,,889
,,,,,890
,,,,,891
62.0,,100.0,9.0,,892
,,,,,893
,,,,,894
,,,,,895
62.0,,100.0,9.0,,896
,,,,,897
,,,,,898
,,,,,899
62.0,,100.0,9.0,,900
,,,,,901
,,,,,902
,,,,,903
52.0,,100.0,10.0,,904
,,,,,905
,,,,,906
,,,,,907
67.0,,100.0,10.0,,908
,,,,,909
,,,,,910
,,,,,911
67.0,,100.0,10.0,,912
,,,,,913
,,,,,914
,,,,,915
67.0,,100.0,10.0,,916
,,,,,917
,,,,,918
,,,,,919
66.0,,100.0,10.0,,920
,,,,,921
,,,,,922
,,,,,923
66.0,,100.0,10.0,,924
,,,,,925
,,,,,926
,,,,,927
55.0,,100.0,10.0,,928
,,,,,929
,,,,,930
,,,,,931
66.0,,100.0,10.0,,932
,,,,,933
,,,,,934
,,,,,935
66.0,,100.0,10.0,,936
,,,,,937
,,,,,938
,,,,,939
55.0,,100.0,10.0,,940
,,,,,941
,,,,,942
,,,,,943
66.0,,100.0,9.0,,944
,,,,,945
,,,,,946
,,,,,947
60.0,,100.0,9.0,,948
,,,,,949
,,,,,950
,,,,,951
60.0,,100.0,9.0,,952
,,,,,953
,,,,,954
,,,,,955
60.0,,100.0,9.0,,956
,,,,,957
,,,,,958
,,,,,959
60.0,,100.0,10.0,,960
,,,,,961
,,,,,962
,,,,,963
66.0,,100.0,10.0,,964
,,,,,965
,,,,,966
,,,,,967
82.0,,100.0,10.0,,968
,,,,,969
,,,,,970
,,,,,971
81.0,,100.0,10.0,,972
,,,,,973
,,,,,974
,,,,,975
72.0,,100.0,9.0,,976
,,,,,977
,,,,,978
,,,,,979
72.0,,100.0,9.0,,980
,,,,,981
,,,,,982
,,,,,983
72.0,,100.0,9.0,,984
,,,,,985
,,,,,986
,,,,,987
60.0,,100.0,9.0,,988
,,,,,989
,,,,,990
,,,,,991
66.0,,100.0,9.0,,992
,,,,,993
,,,,,994
,,,,,995
50.0,,100.0,9.0,,996
,,,,,997
,,,,,998
,,,,,999
50.0,,100.0,9.0,,1000
,,,,,1001
,,,,,1002
,,,,,1003
66.0,,100.0,9.0,,1004
,,,,,1005
,,,,,1006
,,,,,1007
81.0,,100.0,10.0,,1008
,,,,,1009
,,,,,1010
,,,,,1011
80.0,,100.0,10.0,,1012
,,,,,1013
,,,,,1014
,,,,,1015
79.0,,100.0,10.0,,1016
,,,,,1017
,,,,,1018
,,,,,1019
79.0,,100.0,10.0,,1020
,,,,,1021
,,,,,1022
,,,,,1023
79.0,,100.0,10.0,,1024
,,,,,1025
,,,,,1026
,,,,,1027
70.0,,100.0,10.0,,1028
,,,,,1029
,,,,,1030
,,,,,1031
70.0,,100.0,9.0,,1032
,,,,,1033
,,,,,1034
,,,,,1035
70.0,,100.0,9.0,,1036
,,,,,1037
,,,,,1038
,,,,,1039
78.0,,100.0,9.0,,1040
,,,,,1041
,,,,,1042
,,,,,1043
